random_id,participant_id,n
p059dy6tho6,turtle,142
p28lt6j893h,moose,182
p2rs445d206,calf,148
p3xfr19ms7z,goose,141
p41m316dkys,goldfish,135
p5j3svukxcy,duck,139
p5xkm6nh5ea,swan,144
p7m67l17tja,squirrel,135
p9dcxe8awf5,lemur,131
p9tg17juogv,lynx,134
p9udf0wcadf,jaguar,128
pa1cnp5p36p,elk,164
pbjvepzadtn,penguin,160
pc854e34m9p,frog,152
pc8ltubhp56,sheep,143
pdkugtda0fc,fox,168
peysfwhvvjd,mouse,138
pfn266weac3,seal,171
pg7v0dptn63,hedgehog,135
pgkdd2ms11h,goat,173
pglgu8eum9z,wolf,138
pja59lxpprg,camel,138
pjhwj6m4ht3,bear,131
pjw0401eolj,owl,147
pl06h9mrbap,wallaby,136
pn4ofjxh6x7,lion,143
pnsrpotmtln,otter,133
po14j60ucub,hamster,146
pom4koddl6a,crow,134
poop2on536j,alpaca,150
poub57qlzeu,raccoon,129
ppn1fnylqbl,badger,135
pq0chwnfyk4,cub,152
prcxmybyuyt,meerkat,135
psnoubth5yr,gecko,150
psp2zgdjtk7,panda,156
pst6735zzjr,tortoise,133
ptkcesyxfzy,antelope,150
pu147b1nynp,koala,171
puofg5jq87j,manatee,144
puzrs8qr737,pony,176
pxetgqmdoq3,dolphin,159
pygg7ce7cc6,horse,134
