random_id,participant_id,trial_type,trial_index,trial_number,time_elapsed,rt,stimulus,response,question_order,correct_key,correct,object_num,angle,correct_response,correct_response_key,age,year,major,minor,gender,about,difficulties,trial_kind
p059dy6tho6,turtle,image-keyboard-response,73,23,189462,3100,stimuli/14_150.jpg,j,NA,NA,FALSE,14,150,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,75,24,192984,2082,stimuli/13_150_R.jpg,f,NA,NA,FALSE,13,150,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,77,25,196678,2253,stimuli/10_0.jpg,j,NA,NA,FALSE,10,0,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,79,26,200926,2807,stimuli/16_0_R.jpg,j,NA,NA,TRUE,16,0,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,81,27,203887,2522,stimuli/16_100_R.jpg,j,NA,NA,TRUE,16,100,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,83,28,205456,1131,stimuli/15_0.jpg,f,NA,NA,TRUE,15,0,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,85,29,209095,3200,stimuli/48_50_R.jpg,f,NA,NA,FALSE,48,50,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,87,30,213809,3273,stimuli/23_100.jpg,f,NA,NA,TRUE,23,100,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,89,31,218132,3885,stimuli/32_150_R.jpg,j,NA,NA,TRUE,32,150,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,91,32,221237,2665,stimuli/7_0_R.jpg,j,NA,NA,TRUE,7,0,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,93,33,224188,2512,stimuli/44_50.jpg,f,NA,NA,TRUE,44,50,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,95,34,228128,3502,stimuli/9_150.jpg,f,NA,NA,TRUE,9,150,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,97,35,230940,2374,stimuli/18_50.jpg,f,NA,NA,TRUE,18,50,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,99,36,233529,2149,stimuli/15_100_R.jpg,f,NA,NA,FALSE,15,100,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,101,37,239408,4438,stimuli/40_150_R.jpg,f,NA,NA,FALSE,40,150,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,103,38,242374,1525,stimuli/26_150.jpg,f,NA,NA,TRUE,26,150,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,105,39,244547,1735,stimuli/47_0.jpg,f,NA,NA,TRUE,47,0,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,107,40,248273,3286,stimuli/45_100_R.jpg,j,NA,NA,TRUE,45,100,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,109,41,253117,4406,stimuli/3_50_R.jpg,j,NA,NA,TRUE,3,50,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,111,42,260258,6701,stimuli/37_150_R.jpg,f,NA,NA,FALSE,37,150,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,113,43,266586,4888,stimuli/39_50.jpg,f,NA,NA,TRUE,39,50,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,115,44,269269,2244,stimuli/28_50.jpg,f,NA,NA,TRUE,28,50,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,117,45,271661,1953,stimuli/18_0_R.jpg,j,NA,NA,TRUE,18,0,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,119,46,275549,3449,stimuli/8_150.jpg,f,NA,NA,TRUE,8,150,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,121,47,277855,1867,stimuli/26_50.jpg,f,NA,NA,TRUE,26,50,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,123,48,279581,1287,stimuli/14_0.jpg,f,NA,NA,TRUE,14,0,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,126,49,283402,1980,stimuli/42_0_R.jpg,j,NA,NA,TRUE,42,0,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,128,50,286528,2730,stimuli/38_100_R.jpg,j,NA,NA,TRUE,38,100,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,130,51,289980,3058,stimuli/2_150.jpg,f,NA,NA,TRUE,2,150,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,132,52,291786,1411,stimuli/45_50.jpg,f,NA,NA,TRUE,45,50,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,134,53,295005,2824,stimuli/20_100_R.jpg,j,NA,NA,TRUE,20,100,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,136,54,296769,1369,stimuli/21_0_R.jpg,j,NA,NA,TRUE,21,0,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,138,55,300294,3130,stimuli/20_150.jpg,f,NA,NA,TRUE,20,150,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,140,56,301679,989,stimuli/23_0.jpg,f,NA,NA,TRUE,23,0,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
